"var1" "var2" "var4" "var5" "var6" "var7" "var8" "var9" "var10" "var11" "var12" "var13" "var14" "var15" "var16" "var17" "var18" "var19" "var20" "var21" "var22"
"Pyralidae" 4.143 1.143 2.186 4 3.444 3 2.552 5.278 5 3 3.988 3.381 1.125 2.945 4.808 1.5 2.143 1.167 3 3.045 4.821
"Rhagionidae" 4.25 1.25 2 7 0 0 2 4 8 6 3.917 2.9 2 3 4.25 2.6 2 1 2.5 0 5.25
"Rhyacophilidae" 4 1.583 2 3.105 2.289 4.714 1.435 4.167 6.488 6.556 2.806 2.396 1.97 2.646 3.12 3.118 1.1 1 2 1.857 4.154
"Scirtidae" 2.062 1.75 1.5 7 3.174 5 1.75 4 3.5 3.75 2.778 2.632 1.118 3 5.714 1.889 2.375 1.286 3 0 4.281
"Sericostomatidae" 4 1.143 2 4 2.2 4.857 1.5 4.143 4.231 3.077 3.28 2.886 1.5 2.677 4.239 2.316 1.25 1 3 2.4 4.5
"Sialidae" 4.4 2 2 5.5 2.667 0 2.5 4.25 6.444 7 3.462 3.333 1.875 2.857 4.467 1.875 1.833 1.25 1 3.5 3.933
"Simuliidae" 2.667 1.143 2.125 4.333 2.4 2.5 2 6 3.125 4.75 2.737 3.062 2.1 3.105 3.864 3.4 1.625 1 2.067 2.429 4.316
"Sphaeriidae" 3.3 1.667 2.333 1 1.6 3 1.75 5.467 4.048 5 3.8 4.192 1.6 3 5.194 1.727 1.8 1.25 2.714 2.917 4.619
"Stratiomyiidae" 4.167 1.333 2.2 3.5 3 4 4 3 4.25 3.429 4.471 3.286 1.75 3 5.75 1.667 1.333 1.4 1.5 2.4 5.4
"Tabanidae" 5.25 1 1.667 5.2 3.5 4.75 4 4.375 6.429 5.25 4.412 4.286 1.25 3 6.267 1.8 2.5 1.25 2.75 3 4.125
"Thaumaleidae" 4 1 2.2 7 2 5 4 4 3.25 3.75 3 1.667 2 2.714 3.143 3.2 1 1 1 2 5.75
"Tipulidae" 5.4 1.6 2 3.25 3 3.5 2.667 4.8 4.385 3.857 4.059 3.75 1.5 3 5.389 1.667 1.667 1.4 2.5 2.333 3.643
"Veliidae" 2 1 3 5.364 2.3 4 4 1.8 7.182 6.25 3.71 3.273 1.333 3.583 3.455 1.625 1.75 1.25 3 2.714 4.35
