Taxa Group,Family,InterestedGroup,Subfamily,Genus,Species,Taxa Original label in the French data-base,0.25cm,0.250.5cm,0.51cm,12cm,24cm,48cm,8cm,1year,more1year,less1,1year,more1,egg,larva,nymph,adult,ovoviviparity,isolated eggs free,isolated eggs cemented,clutches cemented or fixed,clutches free,clutches in vegetation,clutches terrestrial,asexual reproduction,aquatic passive,aquatic active,aerial passive,aerial active,eggs statoblasts,cocoons,housings against desiccation,diapause or dormancy,none,microorganisms,detritus less 1mm,dead plant more 1mm,living microphytes,living macrophytes,dead animal more 1mm,living microinvertebrates,living macroinvertebrates,vertebrates,absorber,deposit feeder,shredder,scraper,filter-feeder,piercer,predator,parasite,tegument,gill,plastron,spiracle,hydrostatic vesicle,cold less 15C,warm more 15C,eurythermic,less 4,more 4-4.5,more 4.5-5,more 5-5.5,more 5.5-6,more 6,oligotrophic,mesotrophic,eutrophic,xenosaprobic,oligosaprobic,b-mesosaprobic,a-mesosaprobic,polysaprobic,freshwater,brackish water,2  Pyrenees,4  Alps,8  Vosges Jura Massif Central,13a  lowlands oceanic,13b  lowlands mediterranean,lowlands,piedmont level,alpine level,crenon,epirithron,metarithron,hyporithron,epipotamon,metapotamon,estuary,outside river system,river channel,banks connected side-arms,ponds pools disconnected side-arms,marshes peat bogs,temporary waters,lakes,groundwaters,flagsboulderscobblespebbles,gravel,sand,silt,macrophytes,microphytes,twigsroots,organic detrituslitter,mud,flier,surface swimmer,full water swimmer,crawler,burrower,interstitial,temporarily attached,permanently attached,null,slow less 25 cms,medium 25-50 cmlesss,fast more 50 cms
Bryozoa,PLUMATELLIDAE,Bryozoa,[Fam:PLUMATELLIDAE],Plumatella,sp.,Plumatella,0,0,0,0,2,3,2,3,0,3,0,0,3,3,0,3,3,0,0,0,0,0,0,3,3,1,0,0,3,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,2,3,3,1,0,1,3,3,0,1,3,2,0,3,1,3,3,3,3,1,3,2,0,0,1,1,2,3,2,0,2,0,3,2,0,0,2,0,3,0,0,0,4,0,4,1,0,0,0,1,0,0,0,0,3,3,3,1,0
Bryozoa,PLUMATELLIDAE,Bryozoa,[Fam:PLUMATELLIDAE],Hyalinella,punctata,Hyalinella punctata,0,0,0,0,3,2,2,3,0,3,0,0,3,3,0,3,3,0,0,0,0,0,0,3,3,1,0,0,3,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,1,3,2,0,3,1,0,0,1,3,1,3,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,1,0,3,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,3,2,1,0,0
Bryozoa,CRISTATELLIDAE,Bryozoa,[Fam:CRISTATELLIDAE],Cristatella,mucedo,Cristatella mucedo,0,0,0,0,0,0,3,3,0,3,0,0,3,3,0,3,3,0,0,0,0,0,0,3,3,1,0,0,3,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,3,3,3,0,0,1,3,0,0,3,0,3,1,2,3,0,3,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,3,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,3,3,1,0,0
Bryozoa,LOPHOPODIDAE,Bryozoa,[Fam:LOPHOPODIDAE],Lophopus,crystallinus,Lophopus crystallinus,0,0,0,0,3,1,0,3,0,3,0,0,3,3,0,3,3,0,0,0,0,0,0,3,3,1,0,0,3,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,0,3,1,1,3,0,3,1,0,0,0,0,0,0,0,0,5,0,1,2,0,0,0,0,3,0,0,0,3,0,2,2,0,0,0,1,0,0,0,0,3,3,3,2,1
Bryozoa,LOPHOPODIDAE,Bryozoa,[Fam:LOPHOPODIDAE],Pectinatella,magnifica,Pectinatella magnifica,0,0,0,0,3,1,0,3,0,3,0,0,3,3,0,3,3,0,0,0,0,0,0,3,3,1,0,0,3,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,3,0,3,1,1,3,0,3,0,0,0,0,0,1,2,2,0,1,0,2,0,1,0,2,0,3,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,2,3,1,0,0
Turbellaria,PLANARIIDAE,PLANARIIDAE,[Fam:PLANARIIDAE],Polycelis,sp.,Polycelis,0,0,1,3,0,0,0,0,3,0,3,0,3,3,0,3,0,0,0,2,0,0,0,1,1,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,2,2,1,1,1,1,2,3,1,2,1,0,2,2,0,0,3,1,3,3,3,3,3,3,1,1,1,4,2,2,1,1,0,3,2,3,3,1,1,2,1,3,0,0,0,3,0,3,2,0,0,1,0,5,0,1,0,0,2,3,2,0
Turbellaria,PLANARIIDAE,PLANARIIDAE,[Fam:PLANARIIDAE],Crenobia,alpina,Crenobia alpina,0,0,0,2,3,0,0,0,3,0,3,0,3,3,0,3,0,0,0,3,0,0,0,1,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,1,2,3,3,3,3,0,0,1,3,0,0,0,3,0,3,3,3,1,0,2,3,2,5,3,2,0,0,0,0,2,3,3,0,0,0,3,0,4,0,0,0,0,0,2,2,0,0,0,0,4,0,1,0,0,1,2,2,1
Turbellaria,PLANARIIDAE,PLANARIIDAE,[Fam:PLANARIIDAE],Phagocata,vitta,Phagocata vitta,0,0,0,2,2,0,0,0,3,0,3,0,3,3,0,3,0,0,0,3,0,0,0,3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,1,1,1,0,2,0,0,2,3,3,2,0,3,0,3,0,3,3,2,1,3,0,3,1,0,0,0,0,0,4,1,1,0,1,3,1,3,2,0,2,0,0,0,2,2,0,0,0,0,4,0,1,0,0,0,0,3,1
Turbellaria,PLANARIIDAE,PLANARIIDAE,[Fam:PLANARIIDAE],Planaria,sp.,Planaria,0,0,0,3,0,0,0,0,3,0,3,0,3,3,0,3,0,0,0,3,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,0,0,1,1,2,1,3,2,0,0,3,2,0,3,0,0,0,0,1,0,3,0,0,0,2,2,1,1,1,0,1,0,1,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1,1
Turbellaria,DUGESIIDAE,DUGESIIDAE,[Fam:DUGESIIDAE],Dugesia,sp.,Dugesia,0,0,1,2,3,0,0,0,3,0,3,0,3,3,0,3,0,0,0,2,0,0,0,2,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,2,2,1,2,2,3,3,3,1,2,2,1,2,3,1,0,3,1,1,3,3,3,1,3,1,0,0,1,3,4,3,2,0,2,1,4,2,0,0,3,0,4,0,0,0,2,0,0,2,1,0,1,0,5,0,0,0,0,3,3,1,0
Turbellaria,DENDROCOELIDAE,DENDROCOELIDAE,[Fam:DENDROCOELIDAE],Dendrocoelum,lacteum,Dendrocoelum lacteum,0,0,0,0,3,0,0,3,1,0,3,0,3,3,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,1,1,1,3,3,3,0,2,3,0,0,2,1,0,3,1,3,3,3,3,3,3,0,0,1,1,2,3,4,3,0,3,0,3,2,0,1,2,0,4,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,2,3,2,0
Turbellaria,DENDROCOELIDAE,DENDROCOELIDAE,[Fam:DENDROCOELIDAE],Bdellocephala,punctata,Bdellocephala punctata,0,0,0,0,3,0,0,3,0,0,3,0,3,3,0,3,0,0,0,3,0,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,1,1,1,0,0,1,1,0,3,0,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,4,0,0,0,3,0,0,2,0,0,0,0,5,0,0,0,0,3,2,0,0
Nemertia,TETRASTEMMATIDAE,TETRASTEMMATIDAE,[Fam:TETRASTEMMATIDAE],Prostoma,graecense,Prostoma graecense,0,0,0,3,0,0,0,0,3,0,3,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,3,0,0,0,0,0,3,0,1,1,0,0,1,1,0,3,0,3,3,3,3,0,3,0,0,0,0,0,1,1,0,0,1,2,3,3,0,0,2,0,3,3,0,0,3,0,1,3,2,0,0,2,0,0,0,0,0,2,2,3,0
Nematoda,MERMITHIDAE,Nematoda,[Fam:MERMITHIDAE],Mermithidae,Gen. sp.,Mermithidae,0,0,0,3,0,0,0,1,1,0,3,0,3,1,0,2,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,1,1,1,1,1,3,1,0,0,1,1,1,1,0,0,0,1,3,0,0,0,0,0,2,0,0,0,3,0,0,0,2,0,0,1,2,0,0,2,0,1,1,1,0
Nematomorpha,GORDIIDAE,GORDIIDAE,[Fam:GORDIIDAE],Gordiidae,Gen. sp.,Gordiacae,0,0,0,0,0,0,3,3,1,1,1,3,2,1,0,2,0,0,0,3,0,0,0,0,3,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,1,3,0,1,2,0,3,2,0,0,0,0,0,2,0,2,3,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,1,2,0,0,3,0,1,1,1,0
Oligochaeta,HAPLOTAXIDAE,Oligochaeta,[Fam:HAPLOTAXIDAE],Haplotaxis,gordioides,Haplotaxis gordioides,0,0,0,0,0,0,3,0,0,0,3,0,3,3,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,3,3,2,3,0,0,0,2,2,0,0,3,0,1,3,3,3,0,3,1,0,2,1,1,1,1,1,0,0,3,2,0,3,0,1,2,1,2,1,1,1,0,0,0,2,0,0,1,0,0,3,0,0,1,2,2,0
Oligochaeta,NAIDIDAE,Oligochaeta,[Fam:NAIDIDAE],Pristina/Pristinella,sp.,Pristina/Pristinella,0,3,1,0,0,0,0,0,1,0,0,3,3,3,0,3,0,2,1,0,0,0,0,3,1,1,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,2,1,2,2,0,2,3,3,0,3,0,0,2,3,3,0,3,0,0,1,1,1,1,2,2,0,0,0,3,2,0,0,2,2,2,3,2,1,2,0,0,3,2,0,0,2,0,0,1,0,0,3,2,2,0
Oligochaeta,NAIDIDAE,Oligochaeta,[Fam:NAIDIDAE],Amphichaeta,sp.,Amphichaeta,3,3,0,0,0,0,0,0,1,0,0,3,3,3,0,3,0,2,1,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,2,3,3,0,3,1,0,1,3,1,0,2,3,0,3,3,3,0,3,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,1,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,1,0
Oligochaeta,NAIDIDAE,Oligochaeta,[Fam:NAIDIDAE],Chaetogaster,sp.,Chaetogaster,3,3,3,3,1,0,0,0,1,0,0,3,3,3,0,3,0,2,1,0,0,0,0,3,2,1,0,0,0,3,0,0,0,1,2,0,2,0,0,3,2,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,1,1,3,1,3,1,0,2,3,1,0,3,1,3,3,3,3,0,3,0,0,2,2,2,2,2,2,0,2,0,3,2,0,0,2,2,2,2,2,0,5,1,0,0,2,0,0,3,0,0,1,1,0,2,3,1,1
Oligochaeta,NAIDIDAE,Oligochaeta,[Fam:NAIDIDAE],Stylaria,lacustris,Stylaria lacustris,0,0,0,3,0,0,0,0,1,0,0,3,3,3,0,3,0,2,1,0,0,0,0,3,2,2,0,0,0,3,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,2,2,3,3,0,3,3,0,1,3,2,0,3,1,0,3,3,3,0,3,1,0,0,1,1,1,1,1,0,3,0,4,2,0,0,2,0,2,2,1,1,5,3,0,2,1,0,0,3,0,0,1,0,0,2,3,1,1
Oligochaeta,NAIDIDAE,Oligochaeta,[Fam:NAIDIDAE],Dero / Aulophorus,sp.,Dero + Aulophorus,0,3,3,3,3,0,0,0,1,0,0,3,3,3,0,3,0,2,1,0,0,0,0,3,1,1,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,1,1,3,0,2,2,0,0,2,3,0,3,1,0,3,3,3,0,3,0,0,0,0,1,1,2,2,0,2,0,2,3,0,0,2,0,0,0,0,2,3,0,0,0,3,0,0,2,0,0,1,1,0,3,2,0,0
Oligochaeta,NAIDIDAE,Oligochaeta,[Fam:NAIDIDAE],Ophidonais,serpentina,Ophidonais serpentina,0,0,0,3,3,0,0,0,1,0,0,3,3,3,0,3,0,2,1,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,2,3,0,1,3,0,0,1,3,1,3,1,0,3,3,3,0,3,0,0,0,1,1,1,1,1,0,0,1,1,2,0,0,2,0,2,0,1,2,5,3,0,2,2,0,0,2,0,3,1,0,0,3,2,1,0
Oligochaeta,NAIDIDAE,Oligochaeta,[Fam:NAIDIDAE],Paranais,sp.,Paranais,0,3,3,2,0,0,0,0,1,0,0,3,3,3,0,3,0,2,1,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,1,3,0,0,3,0,0,2,2,0,3,3,0,0,0,3,0,3,0,0,0,0,1,1,2,2,0,3,1,2,2,0,0,1,0,0,2,5,2,2,2,0,1,3,0,0,0,0,3,0,0,0,2,2,0,0
Oligochaeta,NAIDIDAE,Oligochaeta,[Fam:NAIDIDAE],Nais,sp.,Nais,2,3,3,2,0,0,0,0,1,0,0,3,3,3,0,3,0,2,1,0,0,0,0,3,2,1,0,0,0,3,0,0,0,1,2,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,3,0,0,0,0,1,1,1,1,2,2,2,2,3,2,3,1,0,1,2,2,0,3,2,2,3,3,3,0,3,2,0,2,2,2,2,2,2,1,0,1,3,2,0,1,2,2,4,3,2,2,5,2,0,1,2,0,0,2,0,3,2,0,1,2,2,2,2
Oligochaeta,NAIDIDAE,Oligochaeta,[Fam:NAIDIDAE],Slavina,appendiculata,Slavina appendiculata,0,0,0,3,0,0,0,0,1,0,0,3,3,3,0,3,0,2,1,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,1,3,0,1,2,0,1,3,2,0,3,0,3,3,3,3,0,3,0,0,0,0,1,1,2,2,0,2,0,2,2,0,0,2,0,1,3,3,1,1,0,0,3,1,0,0,0,0,0,1,0,0,2,3,2,0
Oligochaeta,NAIDIDAE,Oligochaeta,[Fam:NAIDIDAE],Vejdovskiella,sp.,Vejdoskyella,0,0,3,3,0,0,0,0,1,0,0,3,3,3,0,3,0,2,1,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,3,2,2,2,2,2,2,3,1,0,0,3,3,0,0,3,0,3,3,0,3,0,3,0,0,0,1,2,2,2,2,0,2,0,2,1,0,2,1,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,1,0
Oligochaeta,NAIDIDAE,Oligochaeta,[Fam:NAIDIDAE],Specaria,josinae,Specaria josinae,0,0,3,3,0,0,0,0,1,0,0,3,3,3,0,3,0,2,1,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,1,3,0,1,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,1,3,0,2,2,0,0,3,2,0,3,0,3,3,3,3,0,3,0,0,0,1,1,1,2,1,0,1,0,2,2,0,0,2,2,1,2,3,3,2,1,0,0,1,0,0,0,0,2,1,0,0,2,2,1,0
Oligochaeta,NAIDIDAE,Oligochaeta,[Fam:NAIDIDAE],Piguetiella,blanci,Piguetiella blanci,0,0,3,3,0,0,0,0,1,0,0,3,3,3,0,3,0,2,1,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,0,1,3,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,2,0,3,0,0,1,2,3,1,3,0,0,3,0,3,0,3,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,3,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0
Oligochaeta,NAIDIDAE,Oligochaeta,[Fam:NAIDIDAE],Uncinais,uncinata,Uncinais uncinata,0,0,1,3,0,0,0,0,1,0,0,3,3,3,0,3,0,2,1,0,0,0,0,3,1,0,0,0,0,3,0,0,0,1,2,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,1,3,1,0,2,3,0,0,3,0,3,3,0,3,0,3,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,2,0,0,0,3,2,2,2,0,0,3,0,0,0,0,0,1,0,0,2,2,0,0
Oligochaeta,NAIDIDAE,Oligochaeta,[Fam:NAIDIDAE],Ripistes,parasita,Ripistes parasita,1,3,3,0,0,0,0,0,1,0,0,3,3,3,0,3,0,2,1,0,0,0,0,3,1,0,0,0,0,3,0,0,0,1,3,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,1,3,1,3,1,0,1,3,0,0,3,0,0,0,3,3,0,3,0,0,0,1,1,1,1,1,0,3,0,1,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,2,1,1,0
Oligochaeta,TUBIFICIDAE,Oligochaeta,[Fam:TUBIFICIDAE],Branchiura,sowerbyi,Branchiura sowerbyi,0,0,0,0,0,3,3,0,1,0,0,3,3,3,0,3,0,0,0,3,0,0,0,1,1,0,0,0,0,3,0,0,0,1,3,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,3,3,0,0,0,0,2,1,0,0,0,3,3,3,0,2,2,0,0,3,2,0,3,0,0,3,3,3,2,3,0,0,0,0,0,1,1,1,0,2,3,0,3,0,0,3,0,0,1,2,3,0,0,1,1,3,0,0,0,0,3,0,0,0,2,2,2,0
