"Aeshnidae" "Astacidae" "Athericidae" "Baetidae" "Beraeidae" "Blephariceridae" "Brachycentridae" "Caenidae" "Calamoceratidae" "Calopterygidae" "Ceratopogonidae" "Chironomidae" "Chloroperlidae" "Chrysomelidae" "Cordulegastridae" "Corduliidae" "Culicidae" "Dixidae" "Dryopidae" "Dugesiidae" "Dytiscidae" "Elmidae" "Empididae" "Ephemerellidae" "Ephemeridae" "Gammaridae" "Gerridae" "Glossosomatidae" "Goeridae" "Gomphidae" "Gyrinidae" "Helophoridae" "Heptageniidae" "Hirudinea" "Hydraenidae" "Hydrobiidae" "Hydrochidae" "Hydrometridae" "Hydropsychidae" "Hydroptilidae" "Lepidostomatidae" "Leptoceridae" "Leptophlebiidae" "Leuctridae" "Limnephilidae" "Limoniidae" "Lymnaeidae" "Mesoveliidae" "Nemouridae" "Neritidae" "Odontoceridae" "Oligochaeta" "Pediciidae" "Perlidae" "Perlodidae" "Philopotamidae" "Planariidae" "Planorbidae" "Polycentropodidae" "Polymitarcyidae" "Potamanthidae" "Psychomyiidae" "Ptychopteridae" "Pyralidae" "Rhagionidae" "Rhyacophilidae" "Scirtidae" "Sericostomatidae" "Sialidae" "Simuliidae" "Sphaeriidae" "Stratiomyiidae" "Tabanidae" "Thaumaleidae" "Tipulidae" "Veliidae"
"ARAL_01" 0 0 0 28 0 0 0 6 0 0 1 48 0 0 0 0 0 0 0 0 0 25 0 32 0 55 1 0 0 0 0 0 24 0 0 35 0 1 2 3 8 7 1 12 1 0 1 0 0 0 0 77 0 0 0 0 0 4 9 1 0 7 0 1 0 3 0 7 0 1 2 0 0 0 0 0
"ARAL_02" 0 0 15 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 8 0 2 6 93 0 0 0 0 0 0 21 0 0 20 0 0 4 0 0 0 7 2 1 0 0 0 1 0 0 22 0 7 0 0 0 1 1 1 0 0 0 0 0 0 2 4 0 0 2 1 0 0 4 0
"ARAL_03" 0 0 12 16 0 0 0 0 0 1 0 4 0 0 1 0 0 6 0 0 0 7 0 4 8 130 3 0 0 0 0 0 11 0 0 4 0 0 2 0 1 0 3 1 1 1 0 0 1 0 1 6 0 3 0 0 0 11 0 0 0 0 0 0 1 0 0 19 0 2 1 0 0 0 3 1
"ARAL_04" 0 0 33 61 0 0 0 97 0 0 0 2 0 0 0 0 0 0 0 15 0 5 0 6 9 7 0 0 0 0 0 0 50 0 0 0 0 0 4 0 2 0 4 14 0 0 0 0 8 0 0 30 0 0 0 1 0 2 8 0 0 0 0 0 0 3 1 13 0 4 0 0 0 0 1 0
"ARAL_05" 0 0 6 3 0 0 0 16 0 0 2 6 0 0 0 0 0 4 1 5 0 15 0 20 3 5 0 0 0 0 0 0 38 0 0 27 0 4 17 0 4 0 12 17 2 0 0 0 4 0 1 6 0 3 0 0 0 0 8 0 0 0 0 0 0 1 4 6 0 2 0 0 0 0 2 0
"ARAL_06" 0 0 1 82 0 1 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 114 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 14 0 0 2 0 0 0 0 2 18 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 1 0
"ARAL_07" 0 0 5 10 0 0 1 5 0 0 0 3 0 0 0 0 0 1 0 1 0 23 1 30 0 117 0 0 0 0 0 0 37 0 0 174 0 0 4 0 4 11 1 11 0 1 0 0 0 0 1 7 0 5 0 0 1 1 2 0 0 0 0 0 1 3 5 11 0 21 0 0 0 0 1 0
"ARAL_08" 0 0 11 6 0 0 0 2 0 0 0 0 1 0 0 0 0 3 0 0 0 9 0 0 7 94 0 0 0 0 0 0 14 0 4 0 0 1 4 0 0 0 1 9 0 1 0 0 3 0 2 2 0 3 0 0 5 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 4 1
"ARAL_09" 0 0 0 12 0 0 0 3 0 0 0 31 0 0 0 0 0 0 0 2 0 9 0 72 0 77 3 0 0 0 4 0 72 1 0 138 0 0 7 2 5 9 7 25 0 1 0 0 0 0 0 6 0 1 0 0 0 5 6 0 0 0 0 0 0 9 0 3 0 1 0 0 0 0 0 0
"ARAL_10" 0 0 0 37 0 0 0 6 0 0 0 86 0 0 0 0 0 0 0 4 0 30 1 38 3 30 0 0 0 1 2 0 11 0 0 186 0 0 1 5 7 27 2 9 1 1 0 0 0 1 0 9 0 0 0 4 0 22 2 0 0 1 0 0 0 4 0 2 0 4 4 0 0 0 2 0
"ARTI_01" 0 0 1 2 0 0 0 0 0 0 0 9 0 0 0 0 0 1 0 0 0 18 0 20 0 28 0 0 0 0 0 0 10 1 0 0 0 0 27 0 0 0 3 4 0 1 0 0 0 0 0 9 0 9 0 0 0 0 1 0 0 0 0 0 1 3 2 0 0 0 0 0 0 0 2 0
"ARTI_02" 0 0 6 2 0 0 0 0 0 0 1 5 0 0 0 0 0 1 0 0 1 8 0 8 0 15 0 0 0 0 0 0 22 0 1 2 0 0 4 0 0 0 49 73 0 2 0 0 0 0 3 6 0 23 0 0 0 0 0 0 0 0 0 0 3 2 0 3 0 1 0 0 0 1 1 0
"ARTI_03" 0 0 7 3 0 0 0 0 0 0 2 13 0 0 0 0 0 0 0 0 0 25 0 16 2 2 0 0 0 0 0 0 1 0 0 0 0 0 15 0 3 0 4 6 0 2 0 0 0 0 0 28 0 0 0 0 0 3 0 0 0 0 0 1 3 0 0 7 0 0 1 0 0 0 0 0
"ARTI_04" 0 0 4 6 0 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 26 0 17 0 9 0 0 0 0 0 0 15 1 0 0 0 0 31 0 2 0 0 0 0 0 0 0 0 0 0 10 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"ARTI_05" 0 0 3 81 0 0 0 1 0 0 1 10 1 0 0 0 0 0 0 0 0 62 0 63 0 20 5 3 0 0 0 0 68 0 0 0 0 0 13 0 4 0 57 11 2 3 0 0 0 0 2 4 1 30 0 0 0 0 3 0 0 0 0 0 1 4 1 5 0 0 0 0 0 0 0 0
"ARTI_06" 0 0 3 14 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 8 0 19 0 41 0 1 1 0 0 0 25 0 0 1 0 0 11 0 0 1 5 4 1 2 0 0 0 0 4 6 0 2 0 2 0 0 0 0 0 0 0 0 1 2 0 5 0 0 0 0 0 0 0 0
"ARTI_07" 0 0 2 12 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 14 0 4 0 13 0 0 0 0 0 0 10 0 0 0 0 0 10 0 0 0 1 1 0 1 0 1 0 0 0 1 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
"ARTI_08" 0 0 1 1 0 0 0 0 0 0 0 12 0 0 0 0 0 0 1 0 0 33 0 5 0 1 0 0 0 0 0 0 13 0 0 2 0 1 13 0 0 0 11 8 0 0 0 0 0 0 0 7 0 10 0 5 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0
"ARTI_09" 0 0 7 10 0 0 0 0 0 0 0 5 1 0 0 0 0 0 0 0 0 26 0 11 1 66 0 12 3 0 0 0 37 0 0 1 0 0 22 0 0 0 2 4 0 0 0 0 0 0 1 6 0 33 0 1 0 0 2 0 0 0 0 0 0 1 3 0 0 1 1 0 0 0 0 0
"ARTI_10" 0 0 0 11 0 0 0 0 0 0 0 57 1 0 0 0 0 1 0 0 0 13 0 56 6 41 7 1 9 0 0 0 8 0 0 0 0 0 0 0 0 5 12 5 0 1 0 1 0 0 0 7 0 2 0 0 0 0 0 0 0 0 0 2 0 0 3 5 1 0 0 0 0 0 0 0
"GORB_01" 2 0 2 22 0 0 0 6 2 0 1 14 0 0 0 0 0 0 0 0 0 24 1 34 0 0 1 0 0 0 0 0 21 0 0 4 0 0 4 0 0 0 89 39 0 1 0 0 5 0 1 5 0 1 0 1 0 0 27 0 0 0 0 0 0 4 2 3 0 2 0 0 0 0 0 0
"GORB_02" 0 0 2 154 0 0 0 32 0 0 0 7 0 0 0 0 0 0 0 1 0 14 0 27 0 32 0 0 0 0 0 0 81 0 0 2 0 0 6 0 0 0 54 19 0 2 0 0 0 0 0 3 0 32 0 0 0 0 16 0 0 0 0 0 2 6 4 26 0 0 0 0 0 0 1 0
"GORB_03" 0 0 1 16 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 2 5 0 23 1 0 0 0 0 0 0 0 15 0 0 0 0 0 10 0 0 0 127 58 0 3 0 0 3 0 1 11 0 5 0 2 1 2 19 0 2 0 0 0 0 0 4 3 0 0 0 0 0 0 0 0
"GORB_04" 1 0 1 23 0 0 0 4 0 0 1 20 0 1 0 0 0 0 0 2 1 30 0 12 3 0 0 0 0 0 0 0 64 0 0 6 0 0 14 0 2 0 14 5 0 3 0 0 0 0 0 2 0 12 0 8 0 1 15 0 0 2 0 0 1 10 1 18 0 1 0 0 0 0 0 0
"GORB_05" 1 0 2 24 0 0 0 1 0 0 1 24 0 0 1 0 0 0 0 2 0 30 0 6 0 0 0 0 0 0 1 0 101 0 0 1 0 0 5 0 1 0 42 15 0 0 0 0 0 0 0 10 0 3 0 6 0 1 40 0 0 1 0 0 3 4 2 6 0 2 0 0 0 0 0 0
"GORB_06" 1 0 0 32 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 43 0 4 0 28 0 0 0 1 0 0 108 0 0 3 0 0 7 0 3 0 25 24 0 0 0 0 1 0 0 4 0 0 2 3 1 0 6 0 0 0 0 0 2 21 5 8 0 3 0 0 0 0 0 0
"GORB_07" 2 0 3 33 0 0 0 3 0 0 1 20 0 0 0 0 0 0 0 1 0 17 0 26 0 31 0 0 0 2 0 0 90 0 0 6 0 0 13 0 18 0 13 30 0 1 0 0 0 0 0 2 0 1 0 0 1 12 16 0 0 0 0 0 1 4 1 16 0 1 0 0 0 0 0 0
"GORB_08" 1 0 5 10 0 0 0 0 0 0 0 30 0 0 1 1 0 0 0 2 0 30 0 4 2 0 2 0 0 2 0 0 6 0 0 8 1 0 29 0 8 0 7 36 0 0 2 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 4 2 3 0 161 0 0 0 0 0 0
"GORB_09" 1 9 2 8 0 0 0 2 0 0 0 40 0 0 0 0 0 0 0 3 2 6 1 7 2 1 0 0 0 1 0 0 40 0 0 5 0 0 6 0 5 0 4 37 0 0 1 0 1 0 0 5 0 0 0 2 0 0 12 0 0 0 0 0 0 4 3 5 0 11 0 0 0 0 0 0
"GORB_10" 0 5 1 5 0 0 0 1 0 0 0 15 0 0 0 0 0 0 0 0 0 6 1 2 1 0 1 0 0 1 0 0 70 0 0 1 0 0 1 0 2 0 19 14 0 0 0 0 1 0 0 0 0 0 0 1 0 1 18 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"IZKI_01" 0 3 1 28 0 0 0 0 0 7 0 48 0 0 1 0 0 3 3 0 1 0 0 7 46 271 0 0 0 0 0 2 0 0 3 30 0 0 0 0 0 0 63 0 0 4 0 0 2 0 0 16 0 0 0 0 2 6 0 0 0 0 111 0 0 0 0 0 0 5 6 2 1 0 0 6
"IZKI_02" 0 2 4 52 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 1 2 0 0 23 120 0 0 0 0 0 1 49 0 2 0 0 0 0 0 0 0 9 1 0 3 0 0 0 0 0 4 0 0 0 0 0 1 3 0 0 0 5 0 0 0 0 0 0 1 2 0 1 0 0 3
"IZKI_03" 0 0 5 27 0 0 0 0 0 0 0 7 0 0 2 0 0 2 0 0 0 1 0 4 23 38 0 0 0 0 0 2 6 0 0 2 0 0 3 0 0 0 26 7 0 0 0 0 5 0 2 6 0 0 0 0 0 7 2 0 0 1 0 0 0 0 0 10 1 1 1 2 1 0 0 1
"IZKI_04" 0 0 0 1 0 0 0 0 0 1 1 324 0 0 12 0 6 0 0 0 0 0 0 0 20 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 1 0 0 0 0 0 25 0 0 0 0 0 2 0 0 0 0 52 0 0 0 2 0 3 2 98 1 0 0 0 1
"IZKI_05" 0 12 0 10 0 0 0 0 0 0 0 82 0 0 0 0 0 0 0 0 0 0 0 0 15 148 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 13 9 0 2 0 0 0 0 0 9 13 0 0 0 0 0 0 0 0 0 8 0 0 0 2 0 0 17 0 0 0 0 0 2
"IZKI_06" 0 0 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 8 44 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 6 0 0 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 2 0 0 0 0 0
"IZKI_07" 0 19 0 0 1 0 0 0 0 0 0 8 0 0 1 0 0 0 0 0 0 1 0 0 32 9 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 132 0 0 4 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 2 11 0 1 0 0 0
"IZKI_08" 0 0 0 4 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 55 41 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 5 13 0 1 0 1 0 0 0 14 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 2 0 1 0 0 0
"IZKI_09" 0 9 0 15 0 0 0 0 0 0 0 22 0 0 6 0 0 0 0 0 1 1 0 1 12 136 0 0 0 0 0 2 14 0 0 4 0 0 0 0 0 0 17 0 1 0 0 0 0 0 0 4 1 0 0 1 0 2 0 0 0 0 7 0 0 0 0 0 0 4 23 0 0 0 0 3
"IZKI_10" 0 6 1 13 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 14 0 10 13 83 0 3 0 0 0 0 12 0 0 4 0 0 10 0 0 0 0 1 0 0 0 0 0 0 0 13 4 7 0 1 0 6 0 0 0 0 0 0 0 0 0 0 0 4 1 0 2 0 0 0
